Frontier-arbiter rule simulation — 1489 stored turns from 4 duels (dropped {'lt3_frontier': 70, 'no_greedy': 18, 'no_echo': 23}); frontier = engy glm-5.2 (3 samples @T0.8 + greedy); teacher echoes only, tau=0.03
new-attack echo subset: 203 turns, 8130 Engy teacher echoes (qwen3.8-27b, canonical rendering), $2.07 (7426 echoes / $1.89 recorded by completed runs; the rest priced at that rate) (honest king re-echoed on the same turns so attack comparisons are same-source)

DEFINITIONS
  gate <method>/<F>: F disagrees when its action differs from ALL k teacher refs — exact (norm_action), jacθ (best token-Jaccard < θ),
    surθ (lpC(y_F|∅) < min_i lpC(y_C^i|∅) − θ per byte); F = G (one greedy sample) or S (3 samples @T0.8, strict majority must disagree).
  agree branch = live min(R,G), band_c 4.0 (live_c2 = the stored era's 2.0); disagree branch = the alt:
    act:<sim>:<s> = [mean_j sim(y_A,y_F^j) − mean_ij sim(y_C^i,y_F^j)] × s × sd(live turn scores of the dialect); sim jaccard or exact (0/1)
    RF = centered tempered LME_j[lpC(y_F^j|z_A) − lpC(y_F^j|∅)]; V = mean_j f_j − mean_i a_i; AF = LME_j[lpC(y_A|z_F^j) − lpC(y_A|∅)]
    minRFG = min(RF, G); minVG = min(V, G). Echo-space alts always use the 3 sampled F refs; act uses the gate's F set.
  |sd = every leg standardised per dialect by (mu, sd) of the TEACHER's own leave-one-out values (R, RF, V, act; AF anchored on king+challenger,
    no teacher_own echo exists); thought leg = 2 − |m − mean(t_i)|/sigma_t with sigma_t = pooled within-turn sd of t_i per dialect.
    No cross echoes lpC(y_C^i|z_C^j), i≠j, exist in this data, so the anchor is the teacher's ref-0 thought on refs 1..2 (one LOO value per turn).
  wB_<mode>/<F> = variant B: teacher refs weighted by mean Jaccard to the F set (softmax at T or hard 1[sim≥0.5]); R = weighted centered LME, G from weighted mu/sd.
  HEADROOM (leave-one-out: ref 0 and F sample 0 dropped everywhere, so every family is scored on k−1=2 teacher refs and 2 F refs):
    mean turn score per family; z(F−T) = paired mean(F_own − T_own)/SE; z(T−K) likewise; dis% = disagree-branch rate on the LOO gate.
  NOISE (full refs, live pairing): margin = mean(chal − king); SE = sd/√n; z = margin/SE; bSE/live = bootstrap SE ÷ that of the same-units
    live rule (live_c4 raw, live_sd sd); |z|/|z0| = |z| ÷ |z of live_c4| (how much of the live separation of these losing challengers survives);
    rho = Spearman of per-turn (chal − king) vs live_c4; dis% = gate rate; varD = share of Σ(d−d̄)² carried by disagree turns.
    minAG = min(act:jaccard:1, G), minAFG = min(AF, G): G (or typ) still bounds the disagree branch.
  ATTACKS (king's thought or action replaced): ≤king% = turns where attack ≤ honest king (ties count); harmless if ≥ 85%. '=' = exact-tie share.
    filler/generic/parrot(sampled y_F^0 pasted): stored swarm echoes, all turns. fparrotG (greedy y_F pasted into the thought), copyF (action := greedy y_F),
    lscmd/catcmd (action := `ls -la` / `cat <first file in prefix>`, bash only): Engy echoes on the subset; copyF/ls/cat on ALL turns for action-space alts.

== GATE RATES (fraction of turns where F disagrees with all teacher refs) ==
set            n    exact/G    exact/S   jac0.5/G   jac0.5/S   jac0.3/S  sur0.02/G  sur0.02/S   jac0.3/G   | yG=any yF  yG~yF  F self  C self  C~F  F all same
ALL         1489      73.6%      73.9%      34.6%      34.7%      21.2%      22.8%      23.2%      21.4%   |      54%   0.71    0.69    0.61  0.51      28%
bash         992      80.5%      81.4%      45.2%      45.9%      30.3%      21.0%      19.8%      30.3%   |      54%   0.66    0.63    0.53  0.41      24%
boxed        156       7.1%       5.1%       0.0%       0.0%       0.0%       6.4%       5.8%       0.0%   |      98%   0.98    0.98    0.99  0.98      87%
tool_call    341      83.9%      83.6%      19.6%      18.2%       4.4%      35.5%      41.1%       5.3%   |      36%   0.74    0.70    0.68  0.62      11%
  (yG=any yF: greedy action exactly equals one of the 3 samples; ~: mean token-Jaccard; self = sample 0 vs samples 1..2)

== TEST 1 HEADROOM (leave-one-out; the arbiter's point is F_own > T_own) ==
-- ALL --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
live_c2                       -0.0287  -0.0054  -0.0098  -0.0453  -18.87   32%   +5.84  -15.22    0%
live_c4                       -0.0161  +0.0004  -0.0026  -0.0362  -15.70   34%   +4.63  -12.93    0%
live_sd                       -0.7238  -0.1894  -0.2748  -1.2314  -16.68   35%   +4.76  -13.91    0%
exact/G|act:jaccard:0.5       +0.0019  -0.0001  +0.0007  -0.0032   +2.83   59%   -1.60   +1.72   76%
exact/G|act:jaccard:1         +0.0072  -0.0002  +0.0018  -0.0024   +6.83   59%   -2.29   +4.99   76%
exact/G|act:jaccard:2         +0.0179  -0.0004  +0.0039  -0.0007   +9.30   59%   -2.62   +7.02   76%
exact/G|act:exact:1           +0.0084  +0.0018  +0.0034  -0.0010   +4.82   26%   -1.83   +3.53   76%
exact/G|minAG                 -0.0161  -0.0055  -0.0067  -0.0404   -9.01   46%   +1.33   -8.03   76%
exact/G|RF                    +0.0026  +0.0076  +0.0065  +0.0030   -7.46   37%   +2.56   -5.66   76%
exact/G|V                     +0.0153  -0.0282  -0.0194  -0.0207  +15.03   65%   -4.82  +12.99   76%
exact/G|AF                        nan      nan  +0.0027  +0.0003     nan  nan%     nan     nan   76%
exact/G|minRFG                -0.0166  -0.0000  -0.0034  -0.0364  -16.00   33%   +5.35  -12.82   76%
exact/G|minVG                 -0.0147  -0.0338  -0.0288  -0.0609   +7.82   55%   -3.55   +6.14   76%
exact/G|minAFG                    nan      nan  -0.0107  -0.0434     nan  nan%     nan     nan   76%
exact/S|act:jaccard:0.5       +0.0002  -0.0003  +0.0001  -0.0036   +0.63   61%   -0.70   +0.14   71%
exact/S|act:jaccard:1         +0.0045  -0.0003  +0.0008  -0.0028   +4.86   61%   -1.34   +3.87   71%
exact/S|act:jaccard:2         +0.0131  -0.0003  +0.0022  -0.0011   +7.96   61%   -1.70   +6.67   71%
exact/S|act:exact:1           +0.0037  +0.0009  +0.0015  -0.0023   +2.85   29%   -0.90   +2.29   71%
exact/S|minAG                 -0.0164  -0.0050  -0.0067  -0.0400   -9.87   47%   +2.07   -8.66   71%
exact/S|RF                    +0.0012  +0.0064  +0.0051  +0.0016   -7.69   36%   +2.76   -5.74   71%
exact/S|V                     +0.0145  -0.0274  -0.0187  -0.0202  +14.51   64%   -4.81  +12.44   71%
exact/S|AF                        nan      nan  -0.0012  -0.0045     nan  nan%     nan     nan   71%
exact/S|minRFG                -0.0167  -0.0002  -0.0037  -0.0366  -16.00   32%   +5.55  -12.69   71%
exact/S|minVG                 -0.0143  -0.0327  -0.0277  -0.0598   +7.55   54%   -3.54   +5.86   71%
exact/S|minAFG                    nan      nan  -0.0112  -0.0438     nan  nan%     nan     nan   71%
jac0.5/G|act:jaccard:0.5      -0.0080  +0.0004  -0.0011  -0.0250   -8.73   46%   +2.52   -7.46   40%
jac0.5/G|act:jaccard:1        -0.0047  +0.0009  -0.0001  -0.0235   -5.00   46%   +1.53   -4.19   40%
jac0.5/G|act:jaccard:2        +0.0020  +0.0021  +0.0019  -0.0205   -0.05   46%   +0.25   +0.11   40%
jac0.5/G|act:exact:1          -0.0082  +0.0000  -0.0016  -0.0260   -8.08   28%   +2.89   -6.52   40%
jac0.5/G|minAG                -0.0156  -0.0019  -0.0044  -0.0370  -12.77   40%   +3.82  -10.42   40%
jac0.5/G|RF                   -0.0071  +0.0055  +0.0028  -0.0215  -13.13   34%   +4.43  -10.43   40%
jac0.5/G|V                    +0.0037  -0.0224  -0.0182  -0.0419   +9.20   51%   -2.73   +8.11   40%
jac0.5/G|AF                       nan      nan  -0.0044  -0.0280     nan  nan%     nan     nan   40%
jac0.5/G|minRFG               -0.0160  +0.0007  -0.0029  -0.0360  -15.99   33%   +5.61  -12.66   40%
jac0.5/G|minVG                -0.0140  -0.0258  -0.0235  -0.0563   +4.94   47%   -1.79   +4.26   40%
jac0.5/G|minAFG                   nan      nan  -0.0093  -0.0416     nan  nan%     nan     nan   40%
jac0.5/S|act:jaccard:0.5      -0.0102  +0.0000  -0.0018  -0.0261  -10.38   46%   +3.18   -8.75   33%
